author_id	author_orchid_id	author_fname	author_lname	author_dblp_url	author_dblp_key	author_gscholar_url	author_affiliation	author_page
54	0000-0002-6954-7720	Efthimios	Bothos	https://dblp.org/pid/57/5887	homepages/57/5887	https://scholar.google.com/scholar?q=Efthimios+Bothos		 
55	 	Elad	Ziklik	https://dblp.org/pid/135/6685	homepages/135/6685	https://scholar.google.com/scholar?q=Elad+Ziklik		 
56	 	Eleftherios	Tiakas	https://dblp.org/pid/95/6816	homepages/95/6816	https://scholar.google.com/scholar?q=Eleftherios+Tiakas		 
57	 	Elena	Corriero	https://dblp.org/pid/160/9705	homepages/160/9705	https://scholar.google.com/scholar?q=Elena+Francesca+Corriero		 
58	 	Elena	Smirnova	https://dblp.org/pid/47/6071	homepages/47/6071	https://scholar.google.com/scholar?q=Elena+Smirnova		 
59	 	Elisa	Baglioni	https://dblp.org/pid/21/8779	homepages/21/8779	https://scholar.google.com/scholar?q=Elisa+Baglioni		 
60	 	Elisabeth	André	https://dblp.org/pid/a/EAndre	homepages/a/EAndre	https://scholar.google.com/scholar?q=	"University of Augsburg, Germany"	author's page @ uni-augsburg.deauthor's page @ academia-net.orgGoogle Scholar profileWikipedia article
61	"ID inferred from metadata,verification pending"	Elisabeth	Lex	https://dblp.org/pid/88/6931	homepages/88/6931	https://scholar.google.com/scholar?q=Elisabeth+Lex		 
62	 	Elizabeth	Daly	https://dblp.org/pid/10/5750	homepages/10/5750	https://scholar.google.com/scholar?q=Elizabeth+M.+Daly		 
63	 	Elizabeth	Churchill	https://dblp.org/pid/99/3360	homepages/99/3360	https://scholar.google.com/scholar?q=	Google	author's page @ elizabethchurchill.comauthor's page @ acm.orgGoogle Scholar profileWikipedia article
64	 	Elizabeth	Wayman	https://dblp.org/pid/149/9152	homepages/149/9152	https://scholar.google.com/scholar?q=Elizabeth+Wayman		 
65	 	Emanuel	Lacic	https://dblp.org/pid/133/0809	homepages/133/0809	https://scholar.google.com/scholar?q=Emanuel+Lacic		 
66	 	Emden	Gansner	https://dblp.org/pid/35/6095	homepages/35/6095	https://scholar.google.com/scholar?q=	AT&T Inc	author's page @ att.com
67	 	Roy	Sasson	https://dblp.org/pid/178/3639	homepages/178/3639	https://scholar.google.com/scholar?q=Roy+Sasson		 
68	 	Royi	Ronen	https://dblp.org/pid/83/3720	homepages/83/3720	https://scholar.google.com/scholar?q=Royi+Ronen		 
69	 	Rubén	Lara	https://dblp.org/pid/10/517	homepages/10/517	https://scholar.google.com/scholar?q=		author's page @ rubenlara.es
70	"ID inferred from metadata,verification pending"	Rubén	Manrique	https://dblp.org/pid/204/3652	homepages/204/3652	https://scholar.google.com/scholar?q=Rub%C3%A9n+Manrique		 
71	ID conflict found inthis bibliography	Rui	Gao	https://dblp.org/pid/43/2694	homepages/43/2694	https://scholar.google.com/scholar?q=Rui+Gao		 
72	 	Ruihai	Dong	https://dblp.org/pid/94/11082	homepages/94/11082	https://scholar.google.com/scholar?q=Ruihai+Dong		 
73	 	Ruilong	Su	https://dblp.org/pid/135/6760	homepages/135/6760	https://scholar.google.com/scholar?q=Ruilong+Su		 
74	 	Ruiming	Tang	https://dblp.org/pid/24/10003	homepages/24/10003	https://scholar.google.com/scholar?q=Ruiming+Tang		 
75	 	Ruining	He	https://dblp.org/pid/11/11110	homepages/11/11110	https://scholar.google.com/scholar?q=Ruining+He		 
76	 	Rus	Mesas	https://dblp.org/pid/204/6322	homepages/204/6322	https://scholar.google.com/scholar?q=Rus+M.+Mesas		 
77	"ID inferred from metadata,verification pending"	Rushed	Kanawati	https://dblp.org/pers/hb/k/Kanawati:Rushed.html	homepages/42/4259	https://scholar.google.com/scholar?q=Rushed+Kanawati	"University of Paris 13, France"	http://www-lipn.univ-paris13.fr/~kanawati/
78	 	Ryan	Snyder	https://dblp.org/pid/123/3264	homepages/123/3264	https://scholar.google.com/scholar?q=Ryan+Snyder		 
79	 	Róbert	Pálovics	https://dblp.org/pid/132/9381	homepages/132/9381	https://scholar.google.com/scholar?q=R%C3%B3bert+P%C3%A1lovics		 
80	 	S.	Mouli	https://dblp.org/pid/167/6021	homepages/167/6021	https://scholar.google.com/scholar?q=S.+Chandra+Mouli		 
81	"ID inferred from metadata,verification pending"	S.	Iyengar	https://dblp.org/pers/hb/i/Iyengar:S=_Sitharama.html	homepages/i/SSitharamaIyengar	https://scholar.google.com/scholar?q=S.+Sitharama+Iyengar	"Florida International University, Miami, FL, USA"	http://users.cis.fiu.edu/~iyengar/
82	 	S.	Vishwanathan	https://dblp.org/pid/v/SVNVishwanathan	homepages/v/SVNVishwanathan	https://scholar.google.com/scholar?q=	"Department of Statistics, Purdue University"	author's page @ purdue.edu
83	 	Saadhika	Sivakumar	https://dblp.org/pid/185/2884	homepages/185/2884	https://scholar.google.com/scholar?q=Saadhika+Sivakumar		 
84	 	Sabin	Kafle	https://dblp.org/pid/183/9271	homepages/183/9271	https://scholar.google.com/scholar?q=Sabin+Kafle		 
85	 	Sabina	Tomkins	https://dblp.org/pid/173/8189	homepages/173/8189	https://scholar.google.com/scholar?q=Sabina+Tomkins		 
86	 	Sabirat	Rubya	https://dblp.org/pid/121/8542	homepages/121/8542	https://scholar.google.com/scholar?q=Sabirat+Rubya		 
87	"ID inferred from metadata,verification pending"	Saeed	Ghidary	https://dblp.org/pid/99/6966	homepages/99/6966	https://scholar.google.com/scholar?q=Saeed+Shiry+Ghidary		 
88	 	Sagar	Jain	https://dblp.org/pid/82/7062	homepages/82/7062	https://scholar.google.com/scholar?q=Sagar+Jain		 
89	 	Sahil	Zubair	https://dblp.org/pid/160/9778	homepages/160/9778	https://scholar.google.com/scholar?q=Sahil+Zubair		 
90	 	Sahin	Albayrak	https://dblp.org/pid/a/SahinAlbayrak	homepages/a/SahinAlbayrak	https://scholar.google.com/scholar?q=	"Technical University of Berlin, Germany"	author's page @ dai-labor.de
91	 	Saikishore	Kalloori	https://dblp.org/pid/185/2855	homepages/185/2855	https://scholar.google.com/scholar?q=Saikishore+Kalloori		 
92	 	Saketh	Mahankali	https://dblp.org/pid/213/0908	homepages/213/0908	https://scholar.google.com/scholar?q=Saketh+Mahankali		 
93	 	Salvatore	Carta	https://dblp.org/pid/07/5975	homepages/07/5975	https://scholar.google.com/scholar?q=Salvatore+Carta		 
94	 	Sam	Banks	https://dblp.org/pid/167/6039	homepages/167/6039	https://scholar.google.com/scholar?q=Sam+Banks		 
95	 	Aditya	Parameswaran	https://dblp.org/pid/40/7459	homepages/40/7459	https://scholar.google.com/scholar?q=	University of Illinois	author's page @ illinois.eduGoogle Scholar profile
96	 	Alejandro	Mottini	https://dblp.org/pid/117/0478	homepages/117/0478	https://scholar.google.com/scholar?q=Alejandro+Mottini		 
97	0000-0002-7691-4955	Alfred	Kobsa	https://dblp.org/pers/hb/k/Kobsa:Alfred.html	homepages/k/AlfredKobsa	https://scholar.google.com/scholar?q=Alfred+Kobsa	"University of California, Irvine, USA"	http://www.ics.uci.edu/~kobsa/
98	 	Anas	Alzogbi	https://dblp.org/pid/132/6124	homepages/132/6124	https://scholar.google.com/scholar?q=	"University of Freiburg, Germany"	author's page @ uni-freiburg.deGoogle Scholar profile
99	 	Andrew	McCallum	https://dblp.org/pid/m/AndrewMcCallum	homepages/m/AndrewMcCallum	https://scholar.google.com/scholar?q=	"University of Massachusetts Amherst, USA"	author's page @ umass.eduGoogle Scholar profileACM author profileACM author profileauthor's page @ nodak.eduWikipedia article
100	 	Ante	Odic	https://dblp.org/pid/89/10945	homepages/89/10945	https://scholar.google.com/scholar?q=Ante+Odic		 
101	 	Arnab	Bhadury	https://dblp.org/pid/178/3687	homepages/178/3687	https://scholar.google.com/scholar?q=Arnab+Bhadury		 
102	 	Aykan	Aydin	https://dblp.org/pid/68/7923	homepages/68/7923	https://scholar.google.com/scholar?q=Aykan+Aydin		 
103	0000-0002-3206-5154	Benjamin	Kille	https://dblp.org/pers/hb/k/Kille:Benjamin.html	homepages/17/11080	https://scholar.google.com/scholar?q=Benjamin+Kille		https://orcid.org/0000-0002-3206-5154
104	 	Bo	Liu	https://dblp.org/pid/58/2670-10	homepages/58/2670-10	https://scholar.google.com/scholar?q=Bo+Liu	"NEC Labs China, Beijing, China"	 
105	 	Cameron	Silvestrini	https://dblp.org/pid/94/10321	homepages/94/10321	https://scholar.google.com/scholar?q=Cameron+Silvestrini		 
106	"ID found on disambiguationpage, needs clean-up"	Chen	Liu	https://dblp.org/pid/10/2639	homepages/10/2639	https://scholar.google.com/scholar?q=Chen+Liu		 
107	 	Christoph	Lofi	https://dblp.org/pid/52/980	homepages/52/980	https://scholar.google.com/scholar?q=	"Delft University of Technology, The Netherlands"	author's page @ tudelft.nlGoogle Scholar profile
108	 	Claudio	Baccigalupo	https://dblp.org/pid/67/5849	homepages/67/5849	https://scholar.google.com/scholar?q=Claudio+Baccigalupo		 
109	"ID inferred from metadata,verification pending"	Daniel	Thalmann	https://dblp.org/pers/hb/t/Thalmann:Daniel.html	homepages/t/DanielThalmann	https://scholar.google.com/scholar?q=Daniel+Thalmann	"Swiss Federal Institute of Technology in Lausanne, Switzerland"	http://people.epfl.ch/daniel.thalmann
110	 	David	Millen	https://dblp.org/pid/18/3476	homepages/18/3476	https://scholar.google.com/scholar?q=David+R.+Millen		 
111	 	Denise	K√ºster	https://dblp.org/pid/190/3475	homepages/190/3475	https://scholar.google.com/scholar?q=Denise+K%C3%BCster		 
112	 	Dit-Yan	Yeung	https://dblp.org/pid/41/5668	homepages/41/5668	https://scholar.google.com/scholar?q=Dit-Yan+Yeung	Hong Kong University of Science and Technology	 
113	 	Doris	Xin	https://dblp.org/pid/135/0135	homepages/135/0135	https://scholar.google.com/scholar?q=Doris+Xin		 
